id,legislativeSubject,policyArea
hconres4,Congressional tributes,
hconres4,Law enforcement administration and funding,
hconres4,Law enforcement officers,
hconres4,,Crime and Law Enforcement
hconres40,Law enforcement administration and funding,
hconres40,Law enforcement officers,
hconres40,,Crime and Law Enforcement
hconres41,Congressional tributes,
hconres41,First responders and emergency personnel,
hconres41,,Labor and Employment
hconres42,Congressional tributes,
hconres42,Nursing,
hconres42,Racial and ethnic relations,
hconres42,U.S. history,
hconres42,,Health
hconres43,Outdoor recreation,
hconres43,U.S. Capitol,
hconres43,,Congress
hconres44,Advisory bodies,
hconres44,Commemorative events and holidays,
hconres44,Executive agency funding and structure,
hconres44,Monuments and memorials,
hconres44,Racial and ethnic relations,
hconres44,U.S. history,
hconres44,,"Civil Rights and Liberties, Minority Issues"
hconres45,,Government Operations and Politics
hconres46,,Economics and Public Finance
hconres47,,International Affairs
hconres48,,International Affairs
hconres49,Advisory bodies,
hconres49,Legislative rules and procedure,
hconres49,Members of Congress,
hconres49,,Congress
hconres5,Congressional tributes,
hconres5,Law enforcement administration and funding,
hconres5,Law enforcement officers,
hconres5,,Crime and Law Enforcement
hconres50,,International Affairs
hconres51,,International Affairs
hconres52,,International Affairs
hconres53,Border security and unlawful immigration,
hconres53,Congressional-executive branch relations,
hconres53,"Presidents and presidential powers, Vice Presidents",
hconres53,,Immigration
hconres54,,Sports and Recreation
hconres55,,Finance and Financial Sector
hconres56,Air quality,
hconres56,Child health,
hconres56,Child safety and welfare,
hconres56,Climate change and greenhouse gases,
hconres56,Economic performance and conditions,
hconres56,Environmental health,
hconres56,Protest and dissent,
hconres56,,Environmental Protection
hconres57,Israel,
hconres57,Middle East,
hconres57,,International Affairs
hconres58,,"Science, Technology, Communications"
hconres59,Animal protection and human-animal relationships,
hconres59,Meat,
hconres59,Nutrition and diet,
hconres59,Trade restrictions,
hconres59,World health,
hconres59,,International Affairs
hconres6,Advisory bodies,
hconres6,Congressional agencies,
hconres6,Congressional committees,
hconres6,Congressional operations and organization,
hconres6,Executive agency funding and structure,
hconres6,Office of the U.S. Trade Representative,
hconres6,Trade agreements and negotiations,
hconres6,,Congress
hconres60,Criminal procedure and sentencing,
hconres60,Detention of persons,
hconres60,"Diplomacy, foreign officials, Americans abroad",
hconres60,Europe,
hconres60,Human rights,
hconres60,International law and treaties,
hconres60,Russia,
hconres60,,International Affairs
hconres61,,International Affairs
hconres62,,"Civil Rights and Liberties, Minority Issues"
hconres63,,Agriculture and Food
hconres64,,Foreign Trade and International Finance
hconres65,Homelessness and emergency shelter,
hconres65,U.S. Capitol,
hconres65,,Congress
hconres66,,International Affairs
hconres67,Aging,
hconres67,Commemorative events and holidays,
hconres67,Health promotion and preventive care,
hconres67,,Health
hconres68,Domestic violence and child abuse,
hconres68,Family planning and birth control,
hconres68,Foreign aid and international relief,
hconres68,Health care coverage and access,
hconres68,Sex and reproductive health,
hconres68,"Sex, gender, sexual orientation discrimination",
hconres68,,Health
hconres69,Birds,
hconres69,Farmland,
hconres69,Grain,
hconres69,Hunting and fishing,
hconres69,Wildlife conservation and habitat protection,
hconres69,,Agriculture and Food
hconres7,Advanced technology and technological innovations,
hconres7,Congressional tributes,
hconres7,"Diplomacy, foreign officials, Americans abroad",
hconres7,Foreign aid and international relief,
hconres7,Human rights,
hconres7,"Intelligence activities, surveillance, classified information",
hconres7,International organizations and cooperation,
hconres7,"Internet, web applications, social media",
hconres7,Iran,
hconres7,Middle East,
hconres7,"Presidents and presidential powers, Vice Presidents",
hconres7,Protest and dissent,
hconres7,Public-private cooperation,
hconres7,Rule of law and government transparency,
hconres7,Sanctions,
hconres7,Women's rights,
hconres7,,International Affairs
hconres70,,Commerce
hconres71,,International Affairs
hconres72,,Labor and Employment
hconres73,,International Affairs
hconres74,,International Affairs
hconres75,,Armed Forces and National Security
hconres76,,Armed Forces and National Security
hconres77,Adult day care,
hconres77,Commemorative events and holidays,
hconres77,Congressional tributes,
hconres77,Family relationships,
hconres77,,Families
hconres78,Commemorative events and holidays,
hconres78,Congressional tributes,
hconres78,Health personnel,
hconres78,World health,
hconres78,,Health
hconres79,,Congress
hconres8,Congressional operations and organization,
hconres8,Congressional oversight,
hconres8,Government information and archives,
hconres8,Legislative rules and procedure,
hconres8,,Congress
hconres80,,Agriculture and Food
hconres81,,International Affairs
hconres82,Congressional tributes,
hconres82,Latin America,
hconres82,Mexico,
hconres82,Professional sports,
hconres82,,Sports and Recreation
hconres83,Commemorative events and holidays,
hconres83,"Government buildings, facilities, and property",
hconres83,Law enforcement officers,
hconres83,Monuments and memorials,
hconres83,"Museums, exhibitions, cultural centers",
hconres83,Music,
hconres83,U.S. Capitol,
hconres83,,Congress
hconres84,Congressional tributes,
hconres84,Military history,
hconres84,U.S. Capitol,
hconres84,Veterans' organizations and recognition,
hconres84,,Congress
hconres85,Congressional tributes,
hconres85,Military history,
hconres85,U.S. Capitol,
hconres85,U.S. history,
hconres85,Women's employment,
hconres85,,Congress
hconres86,Air quality,
hconres86,Climate change and greenhouse gases,
hconres86,Energy prices,
hconres86,Oil and gas,
hconres86,Sales and excise taxes,
hconres86,User charges and fees,
hconres86,,Taxation
hconres87,,Health
hconres88,,International Affairs
hconres89,Commemorative events and holidays,
hconres89,Crime victims,
hconres89,Europe,
hconres89,Germany,
hconres89,Religion,
hconres89,U.S. Capitol,
hconres89,"War crimes, genocide, crimes against humanity",
hconres89,,Congress
hconres9,Economic theory,
hconres9,Political movements and philosophies,
hconres9,,Government Operations and Politics
hconres90,,Energy
hconres91,,Congress
hconres92,,"Civil Rights and Liberties, Minority Issues"
hconres93,Congressional operations and organization,
hconres93,"Presidents and presidential powers, Vice Presidents",
hconres93,,Congress
hconres94,Appropriations,
hconres94,Legislative rules and procedure,
hconres94,,Congress
hconres95,,Immigration
hconres96,,Labor and Employment
hconres97,,Labor and Employment
hconres98,,International Affairs
hconres99,,"Civil Rights and Liberties, Minority Issues"
hjres1,Constitution and constitutional amendments,
hjres1,Judges,
hjres1,Supreme Court,
hjres1,,Law
hjres10,Appropriations,
hjres10,Congressional-executive branch relations,
hjres10,Constitution and constitutional amendments,
hjres10,Legislative rules and procedure,
hjres10,"Presidents and presidential powers, Vice Presidents",
hjres10,,Economics and Public Finance
hjres100,,Finance and Financial Sector
hjres101,,Congress
hjres102,,International Affairs
hjres103,,Labor and Employment
hjres104,,Economics and Public Finance
hjres105,,International Affairs
hjres106,,International Affairs
hjres107,,"Science, Technology, Communications"
hjres108,,International Affairs
hjres109,Administrative law and regulatory procedures,
hjres109,Congressional oversight,
hjres109,Congressional-executive branch relations,
hjres109,Securities and Exchange Commission (SEC),
hjres109,,Finance and Financial Sector
hjres11,Congressional elections,
hjres11,Constitution and constitutional amendments,
hjres11,House of Representatives,
hjres11,Members of Congress,
hjres11,Senate,
hjres11,,Congress
hjres110,Accounting and auditing,
hjres110,Administrative law and regulatory procedures,
hjres110,Congressional-executive branch relations,
hjres110,Department of the Treasury,
hjres110,Government information and archives,
hjres110,Intergovernmental relations,
hjres110,State and local finance,
hjres110,State and local government operations,
hjres110,,Health
hjres111,Energy efficiency and conservation,
hjres111,Oil and gas,
hjres111,,Energy
hjres112,,Education
hjres113,,Economics and Public Finance
hjres114,,Transportation and Public Works
hjres115,Administrative law and regulatory procedures,
hjres115,Animal and plant health,
hjres115,Congressional oversight,
hjres115,Department of Agriculture,
hjres115,Food industry and services,
hjres115,Latin America,
hjres115,Meat,
hjres115,Paraguay,
hjres115,Trade restrictions,
hjres115,,Agriculture and Food
hjres116,,Labor and Employment
hjres117,,Environmental Protection
hjres118,,Congress
hjres119,,Finance and Financial Sector
hjres12,Budget deficits and national debt,
hjres12,Constitution and constitutional amendments,
hjres12,Economic performance and conditions,
hjres12,Income tax rates,
hjres12,Legislative rules and procedure,
hjres12,,Economics and Public Finance
hjres120,,Finance and Financial Sector
hjres121,,Finance and Financial Sector
hjres122,,Finance and Financial Sector
hjres123,,Environmental Protection
hjres124,,Finance and Financial Sector
hjres125,,Finance and Financial Sector
hjres126,,Finance and Financial Sector
hjres127,,Finance and Financial Sector
hjres128,,Energy
hjres129,,Health
hjres13,Constitution and constitutional amendments,
hjres13,"Elections, voting, political campaign regulation",
hjres13,State and local government operations,
hjres13,,Government Operations and Politics
hjres14,Commemorative events and holidays,
hjres14,"Sovereignty, recognition, national governance and status",
hjres14,State and local government operations,
hjres14,"Teaching, teachers, curricula",
hjres14,,Government Operations and Politics
hjres15,Budget deficits and national debt,
hjres15,Budget process,
hjres15,Constitution and constitutional amendments,
hjres15,Legislative rules and procedure,
hjres15,"Presidents and presidential powers, Vice Presidents",
hjres15,,Economics and Public Finance
hjres16,Age discrimination,
hjres16,Constitution and constitutional amendments,
hjres16,"Elections, voting, political campaign regulation",
hjres16,Voting rights,
hjres16,,Government Operations and Politics
hjres17,Congressional oversight,
hjres17,District of Columbia,
hjres17,"Elections, voting, political campaign regulation",
hjres17,Immigration status and procedures,
hjres17,State and local government operations,
hjres17,Voting rights,
hjres17,,Government Operations and Politics
hjres18,Drug trafficking and controlled substances,
hjres18,Latin America,
hjres18,Mexico,
hjres18,Military operations and strategy,
hjres18,Organized crime,
hjres18,Smuggling and trafficking,
hjres18,Violent crime,
hjres18,War and emergency powers,
hjres18,,International Affairs
hjres19,Budget deficits and national debt,
hjres19,Budget process,
hjres19,Constitution and constitutional amendments,
hjres19,Executive agency funding and structure,
hjres19,Income tax rates,
hjres19,Legislative rules and procedure,
hjres19,,Economics and Public Finance
hjres2,Budget deficits and national debt,
hjres2,Budget process,
hjres2,Constitution and constitutional amendments,
hjres2,Income tax rates,
hjres2,Legislative rules and procedure,
hjres2,,Economics and Public Finance
hjres20,Congressional elections,
hjres20,Constitution and constitutional amendments,
hjres20,House of Representatives,
hjres20,Members of Congress,
hjres20,Senate,
hjres20,,Congress
hjres21,Budget deficits and national debt,
hjres21,Constitution and constitutional amendments,
hjres21,Economic performance and conditions,
hjres21,Income tax rates,
hjres21,Legislative rules and procedure,
hjres21,,Economics and Public Finance
hjres22,Administrative law and regulatory procedures,
hjres22,Alternative and renewable resources,
hjres22,Asia,
hjres22,Cambodia,
hjres22,China,
hjres22,"Competitiveness, trade promotion, trade deficits",
hjres22,Department of Commerce,
hjres22,Malaysia,
hjres22,Tariffs,
hjres22,Thailand,
hjres22,Vietnam,
hjres22,,Foreign Trade and International Finance
hjres23,Congressional elections,
hjres23,Constitution and constitutional amendments,
hjres23,"Elections, voting, political campaign regulation",
hjres23,Senate,
hjres23,State and local government operations,
hjres23,,Government Operations and Politics
hjres24,Congressional oversight,
hjres24,District of Columbia,
hjres24,"Elections, voting, political campaign regulation",
hjres24,Immigration status and procedures,
hjres24,State and local government operations,
hjres24,Voting rights,
hjres24,,Government Operations and Politics
hjres25,Constitution and constitutional amendments,
hjres25,Due process and equal protection,
hjres25,"Sex, gender, sexual orientation discrimination",
hjres25,Women's rights,
hjres25,,"Civil Rights and Liberties, Minority Issues"
hjres26,Congressional oversight,
hjres26,Criminal procedure and sentencing,
hjres26,District of Columbia,
hjres26,Due process and equal protection,
hjres26,State and local government operations,
hjres26,Violent crime,
hjres26,,Government Operations and Politics
hjres27,Administrative law and regulatory procedures,
hjres27,Aquatic ecology,
hjres27,Army Corps of Engineers,
hjres27,Congressional oversight,
hjres27,Environmental Protection Agency (EPA),
hjres27,Environmental regulatory procedures,
hjres27,Lakes and rivers,
hjres27,Marine pollution,
hjres27,Water quality,
hjres27,Wetlands,
hjres27,,Environmental Protection
hjres28,Commemorative events and holidays,
hjres28,Educational guidance,
hjres28,Elementary and secondary education,
hjres28,"Teaching, teachers, curricula",
hjres28,,Education
hjres29,Administrative law and regulatory procedures,
hjres29,Birds,
hjres29,Department of the Interior,
hjres29,Endangered and threatened species,
hjres29,Public Lands and Natural Resources,
hjres29,,Animals
hjres3,Congressional elections,
hjres3,Constitution and constitutional amendments,
hjres3,House of Representatives,
hjres3,Members of Congress,
hjres3,Senate,
hjres3,,Congress
hjres30,Administrative law and regulatory procedures,
hjres30,Business ethics,
hjres30,Climate change and greenhouse gases,
hjres30,Congressional oversight,
hjres30,Department of Labor,
hjres30,Employee benefits and pensions,
hjres30,Financial services and investments,
hjres30,,Labor and Employment
hjres31,Abortion,
hjres31,Administrative law and regulatory procedures,
hjres31,Department of Veterans Affairs,
hjres31,Family planning and birth control,
hjres31,Sex and reproductive health,
hjres31,Veterans' medical care,
hjres31,,Armed Forces and National Security
hjres32,,Congress
hjres33,Asia,
hjres33,Conflicts and wars,
hjres33,Congressional tributes,
hjres33,Elementary and secondary education,
hjres33,Military history,
hjres33,"Teaching, teachers, curricula",
hjres33,U.S. history,
hjres33,Veterans' organizations and recognition,
hjres33,Vietnam,
hjres33,,Armed Forces and National Security
hjres34,State and local government operations,
hjres34,Travel and tourism,
hjres34,Women's rights,
hjres34,,"Civil Rights and Liberties, Minority Issues"
hjres35,Constitution and constitutional amendments,
hjres35,"Presidents and presidential powers, Vice Presidents",
hjres35,,Government Operations and Politics
hjres36,,Economics and Public Finance
hjres37,,Congress
hjres38,Child care and development,
hjres38,Constitution and constitutional amendments,
hjres38,Elementary and secondary education,
hjres38,Family relationships,
hjres38,,Families
hjres39,Administrative law and regulatory procedures,
hjres39,Alternative and renewable resources,
hjres39,Asia,
hjres39,Cambodia,
hjres39,China,
hjres39,"Competitiveness, trade promotion, trade deficits",
hjres39,Department of Commerce,
hjres39,Malaysia,
hjres39,Tariffs,
hjres39,Thailand,
hjres39,Vietnam,
hjres39,,Foreign Trade and International Finance
hjres4,Budget process,
hjres4,Constitution and constitutional amendments,
hjres4,"Government employee pay, benefits, personnel management",
hjres4,Legislative rules and procedure,
hjres4,Members of Congress,
hjres4,,Congress
hjres40,Constitution and constitutional amendments,
hjres40,"Elections, voting, political campaign regulation",
hjres40,Immigration status and procedures,
hjres40,Voting rights,
hjres40,,Government Operations and Politics
hjres41,Administrative law and regulatory procedures,
hjres41,Department of Homeland Security,
hjres41,Immigrant health and welfare,
hjres41,Immigration status and procedures,
hjres41,,Immigration
hjres42,Congressional oversight,
hjres42,District of Columbia,
hjres42,Law enforcement administration and funding,
hjres42,State and local government operations,
hjres42,,Government Operations and Politics
hjres43,Alaska Natives and Hawaiians,
hjres43,Congressional oversight,
hjres43,Federal-Indian relations,
hjres43,Hawaii,
hjres43,Indian lands and resources rights,
hjres43,State and local government operations,
hjres43,,Native Americans
hjres44,Administrative law and regulatory procedures,
hjres44,Congressional oversight,
hjres44,Department of Justice,
hjres44,Firearms and explosives,
hjres44,,Crime and Law Enforcement
hjres45,Administrative law and regulatory procedures,
hjres45,Government lending and loan guarantees,
hjres45,Higher education,
hjres45,Student aid and college costs,
hjres45,,Education
hjres46,Administrative law and regulatory procedures,
hjres46,Department of Commerce,
hjres46,Wildlife conservation and habitat protection,
hjres46,,Public Lands and Natural Resources
hjres47,Constitution and constitutional amendments,
hjres47,General taxation matters,
hjres47,,Taxation
hjres48,,"Civil Rights and Liberties, Minority Issues"
hjres49,Administrative law and regulatory procedures,
hjres49,Department of the Interior,
hjres49,Endangered and threatened species,
hjres49,Mammals,
hjres49,,Animals
hjres5,Congressional elections,
hjres5,Constitution and constitutional amendments,
hjres5,House of Representatives,
hjres5,Members of Congress,
hjres5,Senate,
hjres5,,Congress
hjres50,Banking and financial institutions regulation,
hjres50,Congressional-executive branch relations,
hjres50,Consumer Financial Protection Bureau,
hjres50,Credit and credit markets,
hjres50,Small business,
hjres50,,Finance and Financial Sector
hjres51,,Congress
hjres52,,International Affairs
hjres53,,Environmental Protection
hjres54,,"Civil Rights and Liberties, Minority Issues"
hjres55,Budget deficits and national debt,
hjres55,Constitution and constitutional amendments,
hjres55,Economic performance and conditions,
hjres55,Income tax rates,
hjres55,Legislative rules and procedure,
hjres55,,Economics and Public Finance
hjres56,Constitution and constitutional amendments,
hjres56,Income tax rates,
hjres56,Legislative rules and procedure,
hjres56,,Taxation
hjres57,,Government Operations and Politics
hjres58,,Taxation
hjres59,,Immigration
hjres6,Budget deficits and national debt,
hjres6,Constitution and constitutional amendments,
hjres6,Legislative rules and procedure,
hjres6,,Economics and Public Finance
hjres60,,Education
hjres61,,Government Operations and Politics
hjres62,Federal officials,
hjres62,"Museums, exhibitions, cultural centers",
hjres62,Smithsonian Institution,
hjres62,,Government Operations and Politics
hjres63,Federal officials,
hjres63,"Museums, exhibitions, cultural centers",
hjres63,Smithsonian Institution,
hjres63,,Government Operations and Politics
hjres64,Federal officials,
hjres64,"Museums, exhibitions, cultural centers",
hjres64,Smithsonian Institution,
hjres64,,Government Operations and Politics
hjres65,,Armed Forces and National Security
hjres66,Banking and financial institutions regulation,
hjres66,Congressional-executive branch relations,
hjres66,Consumer Financial Protection Bureau,
hjres66,Credit and credit markets,
hjres66,Small business,
hjres66,,Finance and Financial Sector
hjres67,Budget deficits and national debt,
hjres67,Constitution and constitutional amendments,
hjres67,Income tax rates,
hjres67,Judicial review and appeals,
hjres67,Legislative rules and procedure,
hjres67,Members of Congress,
hjres67,,Economics and Public Finance
hjres68,Africa,
hjres68,Democratic Republic of the Congo,
hjres68,"Presidents and presidential powers, Vice Presidents",
hjres68,War and emergency powers,
hjres68,,Emergency Management
hjres69,Administrative law and regulatory procedures,
hjres69,Air quality,
hjres69,Climate change and greenhouse gases,
hjres69,Congressional oversight,
hjres69,Electric power generation and transmission,
hjres69,Environmental Protection Agency (EPA),
hjres69,Environmental regulatory procedures,
hjres69,Industrial facilities,
hjres69,,Environmental Protection
hjres7,Cardiovascular and respiratory health,
hjres7,Emergency medical services and trauma care,
hjres7,Health programs administration and funding,
hjres7,Infectious and parasitic diseases,
hjres7,"Presidents and presidential powers, Vice Presidents",
hjres7,War and emergency powers,
hjres7,,Emergency Management
hjres70,Libya,
hjres70,Middle East,
hjres70,"Presidents and presidential powers, Vice Presidents",
hjres70,War and emergency powers,
hjres70,,Emergency Management
hjres71,Iraq,
hjres71,Middle East,
hjres71,"Presidents and presidential powers, Vice Presidents",
hjres71,War and emergency powers,
hjres71,,Emergency Management
hjres72,,Crime and Law Enforcement
hjres73,,"Civil Rights and Liberties, Minority Issues"
hjres74,Middle East,
hjres74,"Presidents and presidential powers, Vice Presidents",
hjres74,War and emergency powers,
hjres74,Yemen,
hjres74,,Emergency Management
hjres75,,Economics and Public Finance
hjres76,,Armed Forces and National Security
hjres77,,Crime and Law Enforcement
hjres78,,Government Operations and Politics
hjres79,Middle East,
hjres79,"Presidents and presidential powers, Vice Presidents",
hjres79,Syria,
hjres79,War and emergency powers,
hjres79,,Emergency Management
hjres8,Constitution and constitutional amendments,
hjres8,Judges,
hjres8,Supreme Court,
hjres8,,Law
hjres80,,Economics and Public Finance
hjres81,,Law
hjres82,,"Civil Rights and Liberties, Minority Issues"
hjres83,,Immigration
hjres84,,"Civil Rights and Liberties, Minority Issues"
hjres85,Banking and financial institutions regulation,
hjres85,Congressional-executive branch relations,
hjres85,Consumer Financial Protection Bureau,
hjres85,Credit and credit markets,
hjres85,Small business,
hjres85,,Finance and Financial Sector
hjres86,,Congress
hjres87,,Government Operations and Politics
hjres88,Administrative law and regulatory procedures,
hjres88,Department of Education,
hjres88,Government lending and loan guarantees,
hjres88,Higher education,
hjres88,Student aid and college costs,
hjres88,,Education
hjres89,,International Affairs
hjres9,Budget deficits and national debt,
hjres9,Constitution and constitutional amendments,
hjres9,Legislative rules and procedure,
hjres9,,Economics and Public Finance
hjres90,,Economics and Public Finance
hjres91,,Energy
hjres92,Administrative law and regulatory procedures,
hjres92,Congressional oversight,
hjres92,Department of Agriculture,
hjres92,Food assistance and relief,
hjres92,Poverty and welfare assistance,
hjres92,"Sex, gender, sexual orientation discrimination",
hjres92,,Agriculture and Food
hjres93,,Congress
hjres94,,Congress
hjres95,,International Affairs
hjres96,,International Affairs
hjres97,Administrative law and regulatory procedures,
hjres97,Cardiovascular and respiratory health,
hjres97,Congressional oversight,
hjres97,Correctional facilities and imprisonment,
hjres97,Department of Justice,
hjres97,Detention of persons,
hjres97,Infectious and parasitic diseases,
hjres97,,Crime and Law Enforcement
hjres98,Corporate finance and management,
hjres98,Employee benefits and pensions,
hjres98,,Labor and Employment
hjres99,Administrative law and regulatory procedures,
hjres99,Department of Health and Human Services,
hjres99,"Drug, alcohol, tobacco use",
hjres99,,Health
hr1,Administrative law and regulatory procedures,
hr1,Advisory bodies,
hr1,Air quality,
hr1,Alaska,
hr1,Alternative and renewable resources,
hr1,Asia,
hr1,Canada,
hr1,China,
hr1,Civil actions and liability,
hr1,Coal,
hr1,Colorado,
hr1,Computer security and identity theft,
hr1,Electric power generation and transmission,
hr1,Energy prices,
hr1,Energy research,
hr1,Energy revenues and royalties,
hr1,Environmental Protection Agency (EPA),
hr1,"Environmental assessment, monitoring, research",
hr1,Environmental health,
hr1,Environmental regulatory procedures,
hr1,Federal Energy Regulatory Commission (FERC),
hr1,Government information and archives,
hr1,Government studies and investigations,
hr1,Hazardous wastes and toxic substances,
hr1,Indian lands and resources rights,
hr1,Intergovernmental relations,
hr1,Judicial review and appeals,
hr1,Land transfers,
hr1,Land use and conservation,
hr1,Latin America,
hr1,Licensing and registrations,
hr1,"Marine and coastal resources, fisheries",
hr1,Metals,
hr1,Mexico,
hr1,Mining,
hr1,Montana,
hr1,Nevada,
hr1,New Mexico,
hr1,North Dakota,
hr1,Oil and gas,
hr1,Oklahoma,
hr1,Pipelines,
hr1,Political parties and affiliation,
hr1,Public participation and lobbying,
hr1,State and local government operations,
hr1,Strategic materials and reserves,
hr1,Trade restrictions,
hr1,Transportation employees,
hr1,Transportation safety and security,
hr1,Utah,
hr1,Water quality,
hr1,Wyoming,
hr1,,Energy
hr100,Consumer credit,
hr100,Firearms and explosives,
hr100,Public contracts and procurement,
hr100,,Government Operations and Politics
hr1000,,Congress
hr1001,,Education
hr1002,Federal officials,
hr1002,"Government employee pay, benefits, personnel management",
hr1002,,Government Operations and Politics
hr1003,,Armed Forces and National Security
hr1004,Advisory bodies,
hr1004,Congressional oversight,
hr1004,Department of Health and Human Services,
hr1004,Emergency medical services and trauma care,
hr1004,Executive agency funding and structure,
hr1004,Health information and medical records,
hr1004,Health promotion and preventive care,
hr1004,Scientific communication,
hr1004,,Health
hr1005,,Crime and Law Enforcement
hr1006,,Energy
hr1007,,Energy
hr1008,,Emergency Management
hr1009,,Emergency Management
hr101,Commuting,
hr101,Computers and information technology,
hr101,"Government employee pay, benefits, personnel management",
hr101,,Government Operations and Politics
hr1010,,Finance and Financial Sector
hr1011,,Economics and Public Finance
hr1012,Cardiovascular and respiratory health,
hr1012,Civil actions and liability,
hr1012,Emergency medical services and trauma care,
hr1012,Health care quality,
hr1012,"Health technology, devices, supplies",
hr1012,,Health
hr1013,Government information and archives,
hr1013,Law enforcement officers,
hr1013,Licensing and registrations,
hr1013,Marine and inland water transportation,
hr1013,"Navigation, waterways, harbors",
hr1013,,Transportation and Public Works
hr1014,,Taxation
hr1015,,Armed Forces and National Security
hr1016,,Immigration
hr1017,,Finance and Financial Sector
hr1018,,Finance and Financial Sector
hr1019,,Health
hr102,Higher education,
hr102,Public-private cooperation,
hr102,Research administration and funding,
hr102,Space flight and exploration,
hr102,,"Science, Technology, Communications"
hr1020,,Agriculture and Food
hr1021,District of Columbia,
hr1021,Members of Congress,
