id,title,congress,number,type,latestActionDate,latestActionText,relationshipType,relationshipIdentifiedBy
hconres59,A concurrent resolution urging all countries to outlaw the dog and cat meat trade and to enforce existing laws against such trade.,118,16,SCONRES,2023-07-20,Referred to the Committee on Foreign Relations. (text: CR S3463-3464),Identical bill,CRS
hconres60,"A concurrent resolution calling for the immediate release of Marc Fogel, a United States citizen and teacher, who was given an unjust and disproportionate criminal sentence by the Government of the Russian Federation in June 2022.",118,18,SCONRES,2024-05-07,Placed on Senate Legislative Calendar under General Orders. Calendar No. 380.,Identical bill,CRS
hconres69,A resolution recognizing the 10th anniversary of the USA Rice-Ducks Unlimited Rice Stewardship Partnership.,118,403,SRES,2023-10-04,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S4958; text: CR S4957)",Related bill,CRS
hconres7,"A concurrent resolution commending the bravery, courage, and resolve of the women and men of Iran demonstrating in more than 133 cities and risking their safety to speak out against the Iranian regime's human rights abuses.",118,2,SCONRES,2023-07-25,Placed on Senate Legislative Calendar under General Orders. Calendar No. 153.,Related bill,CRS
hconres7,"A concurrent resolution commending the bravery, courage, and resolve of the women and men of Iran demonstrating in more than 133 cities and risking their safety to speak out against the Iranian regime's human rights abuses.",118,2,SCONRES,2023-07-25,Placed on Senate Legislative Calendar under General Orders. Calendar No. 153.,Related bill,House
hconres72,A concurrent resolution recognizing the significance of equal pay and the disparity in wages paid to Latina women in comparison to men.,118,21,SCONRES,2023-10-04,"Referred to the Committee on Health, Education, Labor, and Pensions. (text: CR S4957-4958)",Identical bill,CRS
hconres74,A concurrent resolution expressing support for the Geneva Consensus Declaration on Promoting Women's Health and Strengthening the Family and urging that the United States rejoin this historic declaration.,118,22,SCONRES,2023-10-24,Referred to the Committee on Foreign Relations. (text: CR S5149),Identical bill,CRS
hconres82,A concurrent resolution recognizing and supporting the efforts of the New Heights Bid Committee to bring the 2027 Federation Internationale de Football Association (FIFA) Women's World Cup competition to the United States and Mexico.,118,26,SCONRES,2024-01-29,Held at the desk.,Identical bill,CRS
hconres83,Authorizing the use of the Capitol Grounds for the National Peace Officers Memorial Service and the National Honor Guard and Pipe Band Exhibition.,118,15,HCONRES,2023-03-30,Message on Senate action sent to the House.,Related bill,CRS
hconres83,Authorizing the use of the Capitol Grounds for the National Peace Officers Memorial Service and the National Honor Guard and Pipe Band Exhibition.,118,15,HCONRES,2023-03-30,Message on Senate action sent to the House.,Related bill,House
hconres86,"Providing for consideration of the bill (H.R. 1023) to repeal section 134 of the Clean Air Act, relating to the greenhouse gas reduction fund; providing for consideration of the bill (H.R. 1121) to prohibit a moratorium on the use of hydraulic fracturing; providing for consideration of the bill (H.R. 6009) to require the Director of the Bureau of Land Management to withdraw the proposed rule relating to fluid mineral leases and leasing process, and for other purposes; providing for consideration of the concurrent resolution (H. Con. Res. 86) expressing the sense of Congress that a carbon tax would be detrimental to the United States economy; providing for consideration of the resolution (H. Res. 987) denouncing the harmful, anti-American energy policies of the Biden administration, and for other purposes; and providing for consideration of the bill (H.R 7023) to amend section 404 of the Federal Water Pollution Control Act to codify certain regulatory provisions relating to nationwide permits for dredged or fill material, and for other purposes.",118,1085,HRES,2024-03-20,Motion to reconsider laid on the table Agreed to without objection.,Related bill,House
hconres86,"Providing for consideration of the bill (H.R. 1023) to repeal section 134 of the Clean Air Act, relating to the greenhouse gas reduction fund; providing for consideration of the bill (H.R. 1121) to prohibit a moratorium on the use of hydraulic fracturing; providing for consideration of the bill (H.R. 6009) to require the Director of the Bureau of Land Management to withdraw the proposed rule relating to fluid mineral leases and leasing process, and for other purposes; providing for consideration of the concurrent resolution (H. Con. Res. 86) expressing the sense of Congress that a carbon tax would be detrimental to the United States economy; providing for consideration of the resolution (H. Res. 987) denouncing the harmful, anti-American energy policies of the Biden administration, and for other purposes; and providing for consideration of the bill (H.R 7023) to amend section 404 of the Federal Water Pollution Control Act to codify certain regulatory provisions relating to nationwide permits for dredged or fill material, and for other purposes.",118,1085,HRES,2024-03-20,Motion to reconsider laid on the table Agreed to without objection.,Procedurally-related,House
hconres87,Randy's Resolution,118,27,SCONRES,2024-02-01,"Referred to the Committee on Health, Education, Labor, and Pensions. (text: CR S349-350)",Identical bill,CRS
hconres89,Authorizing the use of Emancipation Hall in the Capitol Visitor Center for a ceremony as part of the commemoration of the days of remembrance of victims of the Holocaust.,118,25,HCONRES,2023-03-30,Message on Senate action sent to the House.,Related bill,CRS
hconres89,Authorizing the use of Emancipation Hall in the Capitol Visitor Center for a ceremony as part of the commemoration of the days of remembrance of victims of the Holocaust.,118,25,HCONRES,2023-03-30,Message on Senate action sent to the House.,Related bill,House
hconres9,"Providing for consideration of the concurrent resolution (H. Con. Res. 9) denouncing the horrors of socialism, and providing for consideration of the resolution (H. Res. 76) removing a certain Member from a certain standing committee of the House.",118,83,HRES,2023-02-01,Motion to reconsider laid on the table Agreed to without objection.,Related bill,House
hconres9,"Providing for consideration of the concurrent resolution (H. Con. Res. 9) denouncing the horrors of socialism, and providing for consideration of the resolution (H. Res. 76) removing a certain Member from a certain standing committee of the House.",118,83,HRES,2023-02-01,Motion to reconsider laid on the table Agreed to without objection.,Procedurally-related,House
hconres93,Providing for a joint session of Congress to receive a message from the President.,118,11,HCONRES,2023-02-02,Message on Senate action sent to the House.,Related bill,House
hconres94,"Consolidated Appropriations Act, 2024",118,4366,HR,2024-03-09,Became Public Law No: 118-42.,Related bill,House
hconres95,"Expressing support for the recognition of March 10, 2023, as ""Abortion Provider Appreciation Day"".",118,23,HCONRES,2023-03-17,Referred to the Subcommittee on Health.,Related bill,CRS
hconres95,"A concurrent resolution expressing support for the recognition of March 10, 2023, as ""Abortion Provider Appreciation Day"".",118,6,SCONRES,2023-03-09,"Referred to the Committee on Health, Education, Labor, and Pensions. (text: CR S749-750)",Related bill,CRS
hconres95,"A concurrent resolution expressing support for the recognition of March 10, 2024, as ""Abortion Provider Appreciation Day"".",118,30,SCONRES,2024-03-07,"Referred to the Committee on Health, Education, Labor, and Pensions. (text: CR S2284-2285)",Related bill,CRS
hconres97,Recognizing the significance of equal pay and the disparity between wages paid to men and women.,118,22,HCONRES,2023-03-09,Referred to the House Committee on Education and the Workforce.,Identical bill,CRS
hconres99,"Honoring Wadee Alfayoumi, a 6-year-old Palestinian boy, murdered as a victim of a hate crime for his Palestinian Muslim identity, in the State of Illinois, United States.",118,942,HRES,2023-12-19,Referred to the House Committee on the Judiciary.,Related bill,CRS
hconres99,"A resolution honoring Wadee Alfayoumi, a 6-year-old Palestinian-American boy, murdered as a victim of a hate crime for his Palestinian-Muslim identity, in the State of Illinois.",118,589,SRES,2024-03-14,Referred to the Committee on the Judiciary. (text: CR S2415-2416),Identical bill,CRS
hjres1,Proposing an amendment to the Constitution of the United States to require that the Supreme Court of the United States be composed of nine justices.,118,8,HJRES,2023-01-09,Referred to the House Committee on the Judiciary.,Related bill,CRS
hjres1,A joint resolution proposing an amendment to the Constitution of the United States to require that the Supreme Court of the United States be composed of not more than 9 justices.,118,16,SJRES,2023-02-16,Read twice and referred to the Committee on the Judiciary.,Related bill,CRS
hjres1,A joint resolution proposing an amendment to the Constitution of the United States to require that the Supreme Court of the United States be composed of nine justices.,118,21,SJRES,2023-03-22,Read twice and referred to the Committee on the Judiciary.,Related bill,CRS
hjres1,Proposing an amendment to the Constitution of the United States to require that the Supreme Court be composed of not more than nine justices.,118,81,HJRES,2023-07-11,Referred to the House Committee on the Judiciary.,Related bill,CRS
hjres100,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Securities and Exchange Commission relating to ""Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure"".",118,50,SJRES,2023-11-09,"Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",Identical bill,CRS
hjres101,Proposing an amendment to the Constitution of the United States to prohibit Members of Congress from receiving compensation for any period during which a Government shutdown is in effect.,118,93,HJRES,2023-09-27,Referred to the House Committee on the Judiciary.,Identical bill,CRS
hjres106,A joint resolution providing for congressional disapproval of the proposed foreign military sale to the Kingdom of Saudi Arabia of certain defense articles and services.,118,53,SJRES,2023-12-11,Read twice and referred to the Committee on Foreign Relations.,Related bill,CRS
hjres107,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Federal Communications Commission relating to ""The Infrastructure Investment and Jobs Act: Prevention and Elimination of Digital Discrimination"".",118,64,SJRES,2024-03-14,"Read twice and referred to the Committee on Commerce, Science, and Transportation.",Identical bill,CRS
hjres109,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Securities and Exchange Commission relating to ""Staff Accounting Bulletin No. 121"".",118,59,SJRES,2024-02-01,"Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",Identical bill,CRS
hjres109,"Providing for consideration of the bill (H.R. 6192) to amend the Energy Policy and Conservation Act to prohibit the Secretary of Energy from prescribing any new or amended energy conservation standard for a product that is not technologically feasible and economically justified, and for other purposes; providing for consideration of the bill (H.R. 7109) to require a citizenship question on the decennial census, to require reporting on certain census statistics, and to modify apportionment of Representatives to be based on United States citizens instead of all persons; providing for consideration of the joint resolution (H.J. Res. 109) providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Securities and Exchange Commission relating to ""Staff Accounting Bulletin No. 121""; and providing for consideration of the bill (H.R. 2925) to amend the Omnibus Budget Reconciliation Act of 1993 to provide for security of tenure for use of mining claims for ancillary activities, and for other purposes.",118,1194,HRES,2024-05-07,Motion to reconsider laid on the table Agreed to without objection.,Related bill,House
hjres109,"Providing for consideration of the bill (H.R. 6192) to amend the Energy Policy and Conservation Act to prohibit the Secretary of Energy from prescribing any new or amended energy conservation standard for a product that is not technologically feasible and economically justified, and for other purposes; providing for consideration of the bill (H.R. 7109) to require a citizenship question on the decennial census, to require reporting on certain census statistics, and to modify apportionment of Representatives to be based on United States citizens instead of all persons; providing for consideration of the joint resolution (H.J. Res. 109) providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Securities and Exchange Commission relating to ""Staff Accounting Bulletin No. 121""; and providing for consideration of the bill (H.R. 2925) to amend the Omnibus Budget Reconciliation Act of 1993 to provide for security of tenure for use of mining claims for ancillary activities, and for other purposes.",118,1194,HRES,2024-05-07,Motion to reconsider laid on the table Agreed to without objection.,Procedurally-related,House
hjres11,Proposing an amendment to the Constitution of the United States to limit the number of terms that a Member of Congress may serve.,118,3,HJRES,2023-01-09,Referred to the House Committee on the Judiciary.,Related bill,CRS
hjres11,"A joint resolution proposing amendments to the Constitution of the United States relative to the line item veto, a limitation on the number of terms that a Member of Congress may serve, and requiring a vote of two-thirds of the membership of both Houses of Congress on any legislation raising or imposing new taxes or fees.",118,1,SJRES,2023-01-23,Read twice and referred to the Committee on the Judiciary.,Related bill,CRS
hjres11,A joint resolution proposing an amendment to the Constitution of the United States relative to limiting the number of terms that a Member of Congress may serve.,118,2,SJRES,2023-01-23,Read twice and referred to the Committee on the Judiciary.,Related bill,CRS
hjres110,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of the Treasury relating to ""Coronavirus State and Local Fiscal Recovery Funds"".",118,57,SJRES,2024-05-15,Failed of passage in Senate by Yea-Nay Vote. 46 - 49. Record Vote Number: 168.,Identical bill,CRS
hjres111,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Energy relating to ""Energy Conservation Program: Energy Conservation Standards for Consumer Furnaces"".",118,58,SJRES,2024-05-22,Held at the desk.,Related bill,CRS
hjres112,"A resolution designating the week of February 6 through 10, 2023, as ""National School Counseling Week"".",118,83,SRES,2023-02-28,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S538; text: CR S536-537)",Related bill,CRS
hjres112,"Expressing support for designation of the week of February 6, 2023, through February 10, 2023, as ""National School Counseling Week"".",118,28,HJRES,2023-02-06,Referred to the House Committee on Education and the Workforce.,Identical bill,CRS
hjres112,"A resolution designating the week of February 5 through 9, 2024, as ""National School Counseling Week"".",118,548,SRES,2024-02-08,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S489; text: CR S500)",Related bill,CRS
hjres113,Proposing a balanced budget amendment to the Constitution of the United States.,118,90,HJRES,2023-09-18,Referred to the House Committee on the Judiciary.,Related bill,CRS
hjres114,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Federal Highway Administration relating to ""National Performance Management Measures; Assessing Performance of the National Highway System, Greenhouse Gas Emissions Measure"".",118,61,SJRES,2024-04-15,Held at the desk.,Related bill,CRS
hjres115,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Animal and Plant Health Inspection Service relating to ""Importation of Fresh Beef From Paraguay"".",118,62,SJRES,2024-03-26,Held at the desk.,Related bill,CRS
hjres116,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Labor relating to ""Employee or Independent Contractor Classification Under the Fair Labor Standards Act"".",118,63,SJRES,2024-03-06,"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",Identical bill,CRS
hjres117,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to ""Reconsideration of the National Ambient Air Quality Standards for Particulate Matter"".",118,65,SJRES,2024-03-14,Read twice and referred to the Committee on Environment and Public Works. (Sponsor introductory remarks on measure: CR S2414; text: CR S2414),Related bill,CRS
hjres12,Proposing an amendment to the Constitution of the United States relative to balancing the budget.,118,2,HJRES,2023-01-09,Referred to the House Committee on the Judiciary.,Related bill,CRS
hjres12,Proposing a balanced budget amendment to the Constitution requiring that each agency and department's funding is justified.,118,19,HJRES,2023-01-12,Referred to the House Committee on the Judiciary.,Related bill,CRS
hjres12,Proposing a balanced budget amendment to the Constitution of the United States.,118,21,HJRES,2023-01-12,Referred to the House Committee on the Judiciary.,Related bill,CRS
hjres12,A joint resolution proposing an amendment to the Constitution of the United States relative to balancing the budget.,118,13,SJRES,2023-02-09,Read twice and referred to the Committee on the Judiciary.,Related bill,CRS
hjres12,Proposing a balanced budget amendment to the Constitution of the United States.,118,55,HJRES,2023-04-18,Referred to the House Committee on the Judiciary.,Identical bill,CRS
hjres12,Proposing a balanced budget amendment to the Constitution of the United States.,118,15,HJRES,2023-01-11,Referred to the House Committee on the Judiciary.,Related bill,CRS
hjres121,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Consumer Financial Protection relating to ""Credit Card Penalty Fees (Regulation Z)"".",118,122,HJRES,2024-04-17,Ordered to be Reported by the Yeas and Nays: 28 - 22.,Identical bill,CRS
hjres121,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Consumer Financial Protection relating to ""Credit Card Penalty Fees (Regulation Z)"".",118,70,SJRES,2024-04-08,"Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",Identical bill,CRS
hjres122,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Consumer Financial Protection relating to ""Credit Card Penalty Fees (Regulation Z)"".",118,121,HJRES,2024-03-26,Referred to the House Committee on Financial Services.,Identical bill,CRS
hjres122,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Consumer Financial Protection relating to ""Credit Card Penalty Fees (Regulation Z)"".",118,70,SJRES,2024-04-08,"Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",Identical bill,CRS
hjres124,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Board of Governors of the Federal Reserve System relating to ""Principles for Climate-Related Financial Risk Management for Large Financial Institutions"".",118,125,HJRES,2024-04-17,Ordered to be Reported by the Yeas and Nays: 28 - 22.,Related bill,CRS
hjres124,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Federal Deposit Insurance Corporation relating to ""Principles for Climate-Related Financial Risk Management for Large Financial Institutions"".",118,126,HJRES,2024-04-17,Ordered to be Reported by the Yeas and Nays: 28 - 22.,Related bill,CRS
hjres125,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Office of the Comptroller of the Currency relating to ""Principles for Climate-Related Financial Risk Management for Large Financial Institutions"".",118,124,HJRES,2024-04-17,Ordered to be Reported by the Yeas and Nays: 28 - 22.,Related bill,CRS
hjres125,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Federal Deposit Insurance Corporation relating to ""Principles for Climate-Related Financial Risk Management for Large Financial Institutions"".",118,126,HJRES,2024-04-17,Ordered to be Reported by the Yeas and Nays: 28 - 22.,Related bill,CRS
